15 67 
0 3 11
0 5 14
0 6 8
0 8 0
0 9 18
0 10 18
0 11 4
0 12 -1
0 13 18
1 2 10
1 8 0
1 10 1
1 13 8
1 14 16
2 8 16
3 1 3
3 6 -2
3 7 0
3 8 6
3 14 -1
4 1 12
4 3 10
5 6 16
5 10 12
5 11 -2
5 12 4
5 13 2
6 7 7
6 11 10
6 14 12
7 4 15
7 10 4
7 13 20
7 14 -1
8 0 2
8 1 4
8 4 17
8 5 11
9 1 1
9 2 18
9 4 11
9 11 5
10 1 10
10 4 18
10 11 2
10 12 12
11 0 10
11 1 12
11 3 4
11 6 11
11 8 11
11 12 9
11 13 12
12 0 17
12 2 17
12 5 3
12 6 10
12 9 2
12 11 17
13 2 9
13 4 3
13 9 7
14 1 10
14 4 13
14 6 16
14 8 2
14 12 -2
