1000 48356
0 10 13
0 29 15
0 54 -4
0 63 15
0 120 12
0 123 11
0 125 6
0 131 13
0 138 10
0 239 11
0 263 12
0 264 5
0 290 6
0 320 12
0 379 13
0 420 8
0 445 7
0 449 15
0 499 15
0 583 11
0 676 12
0 682 7
0 708 14
0 721 9
0 735 10
0 738 7
0 750 9
0 761 12
0 784 11
0 812 15
0 859 6
0 900 11
0 905 10
0 918 9
0 921 5
0 933 12
0 957 8
0 966 15
0 980 15
0 526 10
0 531 5
0 541 5
0 545 6
0 576 8
0 598 14
0 620 11
0 624 15
0 627 11
0 630 9
0 674 7
0 712 5
0 722 12
0 725 11
0 747 10
0 751 15
0 760 7
0 819 8
0 822 9
0 839 12
0 869 9
0 890 13
0 903 11
0 924 7
0 930 14
0 931 8
0 970 7
1 4 13
1 12 10
1 18 7
1 47 6
1 49 5
1 66 5
1 81 6
1 161 13
1 182 12
1 203 11
1 218 6
1 231 7
1 238 9
1 243 8
1 248 9
1 272 12
1 314 15
1 320 8
1 335 8
1 355 6
1 367 7
1 428 6
1 462 6
1 480 7
1 508 10
1 511 6
1 517 10
1 551 13
1 559 15
1 607 11
1 611 6
1 650 9
1 660 8
1 665 5
1 785 10
1 810 9
1 855 8
1 856 9
1 887 9
1 893 9
1 975 9
1 998 7
1 523 11
1 565 7
1 574 5
1 586 15
1 606 14
1 609 12
1 634 15
1 720 5
1 726 12
1 737 12
1 748 5
1 824 5
1 839 5
1 879 5
1 898 12
1 929 7
1 932 7
1 961 8
1 990 10
2 7 15
2 32 8
2 50 12
2 53 7
2 75 13
2 98 9
2 110 6
2 121 15
2 130 8
2 160 8
2 189 15
2 208 9
2 210 11
2 219 15
2 221 8
2 224 12
2 226 11
2 233 7
2 244 8
2 248 12
2 276 11
2 284 11
2 289 5
2 333 11
2 366 14
2 410 12
2 439 9
2 452 13
2 457 5
2 491 11
2 509 14
2 540 10
2 586 8
2 590 12
2 623 11
2 631 7
2 658 5
2 701 8
2 707 6
2 718 14
2 777 7
2 784 6
2 814 7
2 818 10
2 824 13
2 837 7
2 853 15
2 872 10
2 886 5
2 910 6
2 920 6
2 940 15
2 949 15
2 968 5
2 969 10
2 972 5
2 550 9
2 616 5
2 622 14
2 646 9
2 705 15
2 724 10
2 725 14
2 746 8
2 781 5
2 795 14
2 809 12
2 828 7
2 833 7
2 850 9
2 912 7
2 983 12
2 989 10
3 20 14
3 23 11
3 27 5
3 41 12
3 53 7
3 101 6
3 110 8
3 149 9
3 151 10
3 202 6
3 215 13
3 222 5
3 245 6
3 253 10
3 352 9
3 353 5
3 369 13
3 372 9
3 398 5
3 401 13
3 432 9
3 451 9
3 455 15
3 493 9
3 539 15
3 545 15
3 570 9
3 598 11
3 601 12
3 616 15
3 674 10
3 676 9
3 696 14
3 775 5
3 811 8
3 819 13
3 845 7
3 864 7
3 871 8
3 875 15
3 887 9
3 916 7
3 927 14
3 944 5
3 950 14
3 974 8
3 982 13
3 986 14
3 511 6
3 524 6
3 537 8
3 546 15
3 551 15
3 569 11
3 584 6
3 585 8
3 603 14
3 651 11
3 659 13
3 681 15
3 684 6
3 700 14
3 710 8
3 736 14
3 767 5
3 794 7
3 814 7
3 832 5
3 868 13
3 877 6
3 892 14
3 942 8
3 948 5
3 996 6
4 16 7
4 40 14
4 46 12
4 50 9
4 66 9
4 89 9
4 108 15
4 141 11
4 154 9
4 200 9
4 215 7
4 258 13
4 264 7
4 276 14
4 279 5
4 280 9
4 284 10
4 333 14
4 338 7
4 344 11
4 360 13
4 381 14
4 441 15
4 443 11
4 486 13
4 492 6
4 511 15
4 517 13
4 526 7
4 530 6
4 534 8
4 557 7
4 587 10
4 589 11
4 613 15
4 636 7
4 679 12
4 705 8
4 711 11
4 713 15
4 760 6
4 766 8
4 773 13
4 779 6
4 795 5
4 803 8
4 816 7
4 829 6
4 847 14
4 910 13
4 931 12
4 952 6
4 962 15
4 974 6
4 984 13
4 989 15
4 991 10
4 506 15
4 518 6
4 559 13
4 563 6
4 596 11
4 632 11
4 658 6
4 677 13
4 691 8
4 693 11
4 697 15
4 710 8
4 748 5
4 754 5
4 787 15
4 832 11
4 862 14
4 864 11
4 892 13
4 951 8
4 961 6
4 977 5
5 0 6
5 51 5
5 52 8
5 53 15
5 91 5
5 109 10
5 111 10
5 114 10
5 126 7
5 151 7
5 171 10
5 180 9
5 182 7
5 204 11
5 231 10
5 264 9
5 274 9
5 290 14
5 296 6
5 306 8
5 323 6
5 370 6
5 410 8
5 490 8
5 497 12
5 559 12
5 582 14
5 592 7
5 636 8
5 645 9
5 646 5
5 668 9
5 683 5
5 689 9
5 701 8
5 714 13
5 715 9
5 719 10
5 721 11
5 729 6
5 785 7
5 795 10
5 840 5
5 855 14
5 925 11
5 937 9
5 945 9
5 988 6
5 512 5
5 536 9
5 573 14
5 638 14
5 640 7
5 642 15
5 674 12
5 695 7
5 710 12
5 728 11
5 772 5
5 780 7
5 798 5
5 863 9
5 870 6
5 882 9
5 887 5
5 912 6
5 915 6
5 920 5
5 947 7
6 19 10
6 55 7
6 59 9
6 83 5
6 85 12
6 98 14
6 102 15
6 115 6
6 136 12
6 161 9
6 168 9
6 179 12
6 187 10
6 189 14
6 194 12
6 200 8
6 217 8
6 220 7
6 231 9
6 236 8
6 249 7
6 266 7
6 271 7
6 279 8
6 284 10
6 291 7
6 314 10
6 315 5
6 363 6
6 400 13
6 407 7
6 419 6
6 436 12
6 438 7
6 445 11
6 453 7
6 462 14
6 496 9
6 526 10
6 600 11
6 614 14
6 621 10
6 688 7
6 708 14
6 718 12
6 725 13
6 740 10
6 775 8
6 787 7
